class,precision,recall,f1,support
Blight,0.9302,0.9249,0.9275,173
Common_Rust,0.9694,0.9645,0.9669,197
Gray_Leaf_Spot,0.8876,0.9080,0.8977,87
Healthy,1.0000,1.0000,1.0000,175

overall,0.9468,0.9493,0.9480,632
overall_accuracy,0.9557,,,
