class,precision,recall,f1,support
Blight,0.9821,0.9538,0.9677,173
Common_Rust,0.9850,1.0000,0.9924,197
Gray_Leaf_Spot,0.9318,0.9425,0.9371,87
Healthy,0.9943,1.0000,0.9972,175

overall,0.9733,0.9741,0.9736,632
overall_accuracy,0.9794,,,
