class,precision,recall,f1,support
Blight,0.9821,0.9538,0.9677,173
Common_Rust,0.9948,0.9797,0.9872,197
Gray_Leaf_Spot,0.8936,0.9655,0.9282,87
Healthy,0.9943,1.0000,0.9972,175

overall,0.9662,0.9747,0.9701,632
overall_accuracy,0.9763,,,
