class,precision,recall,f1,support
Blight,0.9647,0.9480,0.9563,173
Common_Rust,0.9798,0.9848,0.9823,197
Gray_Leaf_Spot,0.9205,0.9310,0.9257,87
Healthy,0.9943,1.0000,0.9972,175

overall,0.9648,0.9659,0.9654,632
overall_accuracy,0.9715,,,
