class,precision,recall,f1,support
Blight,0.9818,0.9364,0.9586,173
Common_Rust,0.9848,0.9898,0.9873,197
Gray_Leaf_Spot,0.9022,0.9540,0.9274,87
Healthy,0.9887,1.0000,0.9943,175

overall,0.9644,0.9701,0.9669,632
overall_accuracy,0.9731,,,
