class,precision,recall,f1,support
Blight,0.9387,0.8844,0.9107,173
Common_Rust,0.9645,0.9645,0.9645,197
Gray_Leaf_Spot,0.8247,0.9195,0.8696,87
Healthy,1.0000,1.0000,1.0000,175

overall,0.9320,0.9421,0.9362,632
overall_accuracy,0.9462,,,
