class,precision,recall,f1,support
Blight,0.9408,0.9191,0.9298,173
Common_Rust,0.9694,0.9645,0.9669,197
Gray_Leaf_Spot,0.8587,0.9080,0.8827,87
Healthy,1.0000,1.0000,1.0000,175

overall,0.9422,0.9479,0.9449,632
overall_accuracy,0.9541,,,
