class,precision,recall,f1,support
Blight,0.9200,0.9306,0.9253,173
Common_Rust,0.9843,0.9543,0.9691,197
Gray_Leaf_Spot,0.8889,0.9195,0.9040,87
Healthy,0.9943,1.0000,0.9972,175

overall,0.9469,0.9511,0.9489,632
overall_accuracy,0.9557,,,
