class,precision,recall,f1,support
Blight,0.9408,0.9191,0.9298,173
Common_Rust,0.9744,0.9645,0.9694,197
Gray_Leaf_Spot,0.8602,0.9195,0.8889,87
Healthy,1.0000,1.0000,1.0000,175

overall,0.9439,0.9508,0.9470,632
overall_accuracy,0.9557,,,
