Run,Val_Accuracy,Test_Accuracy,Test_Loss
1,0.9696,0.9509,0.2308
2,0.9665,0.9509,0.2977
3,0.9681,0.9494,0.3047
4,0.9649,0.9478,0.3618
5,0.9665,0.9509,0.2113

Metric,Mean,Std,Min,Max
Val_Accuracy,0.9671,0.0016,0.9649,0.9696
Test_Accuracy,0.9500,0.0013,0.9478,0.9509
Test_Loss,0.2813,0.0543,0.2113,0.3618
