class,precision,recall,f1,support
Blight,0.9148,0.9306,0.9226,173
Common_Rust,0.9691,0.9543,0.9616,197
Gray_Leaf_Spot,0.8851,0.8851,0.8851,87
Healthy,1.0000,1.0000,1.0000,175

overall,0.9422,0.9425,0.9423,632
overall_accuracy,0.9509,,,
