class,precision,recall,f1,support
Blight,0.9253,0.9306,0.9280,173
Common_Rust,0.9747,0.9797,0.9772,197
Gray_Leaf_Spot,0.9059,0.8851,0.8953,87
Healthy,1.0000,1.0000,1.0000,175

overall,0.9515,0.9488,0.9501,632
overall_accuracy,0.9589,,,
