class,precision,recall,f1,support
Blight,0.9200,0.9306,0.9253,173
Common_Rust,0.9794,0.9645,0.9719,197
Gray_Leaf_Spot,0.8750,0.8851,0.8800,87
Healthy,1.0000,1.0000,1.0000,175

overall,0.9436,0.9450,0.9443,632
overall_accuracy,0.9541,,,
