class,precision,recall,f1,support
Blight,0.8019,0.9595,0.8737,173
Common_Rust,0.9946,0.9289,0.9606,197
Gray_Leaf_Spot,0.9365,0.6782,0.7867,87
Healthy,0.9831,1.0000,0.9915,175

overall,0.9290,0.8917,0.9031,632
overall_accuracy,0.9225,,,
