class,precision,recall,f1,support
Blight,0.9401,0.9075,0.9235,173
Common_Rust,0.9794,0.9645,0.9719,197
Gray_Leaf_Spot,0.8438,0.9310,0.8852,87
Healthy,1.0000,1.0000,1.0000,175

overall,0.9408,0.9508,0.9452,632
overall_accuracy,0.9541,,,
