class,precision,recall,f1,support
Blight,0.8548,0.9191,0.8858,173
Common_Rust,0.9840,0.9391,0.9610,197
Gray_Leaf_Spot,0.8025,0.7471,0.7738,87
Healthy,0.9887,1.0000,0.9943,175

overall,0.9075,0.9013,0.9037,632
overall_accuracy,0.9241,,,
