class,precision,recall,f1,support
Blight,0.8247,0.9249,0.8719,173
Common_Rust,0.9890,0.9137,0.9499,197
Gray_Leaf_Spot,0.8333,0.7471,0.7879,87
Healthy,0.9831,1.0000,0.9915,175

overall,0.9076,0.8964,0.9003,632
overall_accuracy,0.9177,,,
