class,precision,recall,f1,support
Blight,0.9669,0.8439,0.9012,173
Common_Rust,0.9791,0.9492,0.9639,197
Gray_Leaf_Spot,0.7281,0.9540,0.8259,87
Healthy,0.9943,1.0000,0.9972,175

overall,0.9171,0.9368,0.9220,632
overall_accuracy,0.9351,,,
