class,precision,recall,f1,support
Blight,0.9235,0.9075,0.9155,173
Common_Rust,0.9792,0.9543,0.9666,197
Gray_Leaf_Spot,0.8421,0.9195,0.8791,87
Healthy,1.0000,1.0000,1.0000,175

overall,0.9362,0.9453,0.9403,632
overall_accuracy,0.9494,,,
