class,precision,recall,f1,support
Blight,0.9353,0.9191,0.9271,173
Common_Rust,0.9698,0.9797,0.9747,197
Gray_Leaf_Spot,0.8864,0.8966,0.8914,87
Healthy,1.0000,1.0000,1.0000,175

overall,0.9479,0.9488,0.9483,632
overall_accuracy,0.9573,,,
