class,precision,recall,f1,support
Blight,0.9298,0.9191,0.9244,173
Common_Rust,0.9695,0.9695,0.9695,197
Gray_Leaf_Spot,0.8764,0.8966,0.8864,87
Healthy,1.0000,1.0000,1.0000,175

overall,0.9439,0.9463,0.9451,632
overall_accuracy,0.9541,,,
