class,precision,recall,f1,support
Blight,0.9398,0.9017,0.9204,173
Common_Rust,0.9598,0.9695,0.9646,197
Gray_Leaf_Spot,0.8587,0.9080,0.8827,87
Healthy,1.0000,1.0000,1.0000,175

overall,0.9396,0.9448,0.9419,632
overall_accuracy,0.9509,,,
