experiment_id,model_type,embedding_dim,hidden_size,num_layers,dropout_rate,learning_rate,batch_size,total_params,trainable_params,best_epoch,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1,training_time_minutes
1,rnn,128,256,2,0.3,0.001,256,2967938,2967938,49,0.845,0.8484715018621114,0.845,0.8448615350141402,0.8491437674233373,0.8508009740781818,0.8491437674233373,0.8490558107213293,4.02034705
2,lstm,128,256,2,0.3,0.001,256,3659138,3659138,42,0.896,0.8960919915498368,0.896,0.8960137346475694,0.8815611310234966,0.8815732828859776,0.8815611310234966,0.8815514902154121,4.308747516666667
3,gru,128,256,2,0.3,0.001,256,3428738,3428738,41,0.902,0.9021468371445487,0.902,0.9020156862745098,0.8861808044603744,0.8862498964772594,0.8861808044603744,0.8861602058299213,4.296491116666667
