class,precision,recall,f1,support
Blight,0.9290,0.9075,0.9181,173
Common_Rust,0.9792,0.9543,0.9666,197
Gray_Leaf_Spot,0.8229,0.9080,0.8634,87
Healthy,1.0000,1.0000,1.0000,175

overall,0.9328,0.9425,0.9370,632
overall_accuracy,0.9478,,,
