class,precision,recall,f1,support
Blight,0.8511,0.9249,0.8864,173
Common_Rust,0.9600,0.9746,0.9673,197
Gray_Leaf_Spot,0.8971,0.7011,0.7871,87
Healthy,0.9943,1.0000,0.9972,175

overall,0.9256,0.9002,0.9095,632
overall_accuracy,0.9304,,,
