class,precision,recall,f1,support
Blight,0.8182,0.9364,0.8733,173
Common_Rust,0.9889,0.9036,0.9443,197
Gray_Leaf_Spot,0.8158,0.7126,0.7607,87
Healthy,0.9831,1.0000,0.9915,175

overall,0.9015,0.8882,0.8925,632
overall_accuracy,0.9130,,,
