class,precision,recall,f1,support
Blight,0.9091,0.9249,0.9169,173
Common_Rust,0.9794,0.9645,0.9719,197
Gray_Leaf_Spot,0.8736,0.8736,0.8736,87
Healthy,1.0000,1.0000,1.0000,175

overall,0.9405,0.9407,0.9406,632
overall_accuracy,0.9509,,,
